,FD01_flux,FD01_flux_filled
0,,0.09470455458760173
1,,0.09521062650902792
2,,0.10131321280632505
3,,0.09486653851231575
4,,0.09888439628504582
5,,0.0941881197749433
6,,0.08841854673541574
7,,0.09404852664519589
8,,0.09505742133094598
9,,0.09574307347680013
10,,0.09735100491473135
11,,0.09565632280854089
12,,0.0963118934367109
13,,0.09728148610347939
14,,0.09857990211804327
15,,0.09843188748745636
16,,0.0903099443924722
17,,0.09682971286510463
18,,0.09002355398147688
19,,0.08568431889334349
20,,0.07667077414717623
21,,0.0829548079086792
22,,0.07364228252856332
23,,0.0704794087621943
24,,0.06895242799048316
25,,0.08191816337623235
26,,0.07879182701379593
27,,0.09329398687337405
28,,0.09119378257001232
29,,0.09300253338015692
30,,0.09376704478023536
31,,0.10029412246405675
32,,0.10056713732563434
33,,0.08919927041142231
34,,0.0918761490697539
35,,0.09066099018987342
36,,0.09248578448954245
37,,0.09031199209708515
38,,0.08319927562915481
39,,0.08560547264808281
40,,0.09333446930309677
41,,0.10191509776925312
42,,0.09642944639453556
43,,0.09310468448265646
44,,0.0920598520742853
45,,0.09220425208459607
46,,0.08912933700352482
47,,0.08420271549736537
48,,0.07933514330745343
49,,0.07710890362996255
50,,0.08446099816361775
51,,0.08132592357466634
52,,0.08082343983683567
53,,0.07079453340111713
54,,0.06236669642966315
55,,0.09741968913982035
56,,0.11253860382658812
57,,0.08562402074597869
58,,0.08537999840553556
59,,0.09548353277665869
60,,0.1149727686059602
61,,0.12171564819681203
62,,0.11413260835492572
63,,0.11825846103775045
64,,0.15097556334548776
65,,0.15354381292960742
66,,0.15160176431340344
67,,0.12761031172709889
68,,0.10037456592589826
69,,0.08860442886268563
70,,0.08386841974328745
71,,0.07312189532601138
72,,0.038520176420308395
73,,0.06381050483557889
74,,0.09606067388151607
75,,0.14299313829263763
76,,0.1692166208430204
77,,0.16489577960698548
78,,0.1698394182500164
79,,0.1711400635805916
80,,0.17252395534954984
81,,0.16524522275117418
82,,0.10486569288456483
83,,0.09889301399830888
84,,0.08279003891665462
85,,0.06396003426060937
86,,0.06294198683040228
87,,0.03902313735419855
88,,0.044810726684768244
89,,0.013535219820635427
90,,0.020332804457425375
91,,0.023508374741546545
92,,0.03402443325624435
93,,0.038480464725200544
94,,0.05413050720324374
95,,0.06489197502107945
96,,0.06449945252245944
97,,0.06309935507113565
98,,0.06240183722514201
99,,0.0556166754795931
100,,0.042632363427228065
